,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
200,Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,6190 reviews,Mixed,120k,https://www.coursera.org/learn/wharton-quantitative-modeling,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/d37630b00511e5ae9d8158e68cbd96/Wharton_Online_Quantitative_8x8.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Richard Waterman,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Modeling, Linear Regression, Probabilistic Models, Regression Analysis",,
201,Introduction to Psychology,University of Toronto,COURSE,4.9,3180 reviews,Mixed,280k,https://www.coursera.org/learn/introduction-psych,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2a/4f4038f9a060f0f2e4fa50c2d6a857/iStock_000002041388_ExtraSmall.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,,Steve Joordens,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Psychological Issues, Psychology, Social Psychology, Mental Illness",Psychology,Psychology
202,Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,436 reviews,Beginner,13k,https://www.coursera.org/specializations/futures-thinking,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/09/6e952d409c49699d5975c5c5ab16ea/Starry-Sky-600x600.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Ready Yourself for a Changing World. Learn the skills and mindsets of the world’s top futurists, so you can forecast what’s coming, imagine new possibilities, and seize control of your own future.",4.8stars,341 ratings,Jane McGonigal,"5,288","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Strategic Foresight, Simulation, Scenario Design, Future Forecasting, Foresight, Creativity, Strategic Thinking, Innovation, Leadership, Scenario Development, Strategic Planning, Gaming",Creativity;Design;Gaming;Innovation;Leadership,Creativity;Art and Design;Art and Design;Computer Science;Personal Development
203,Dynamic Public Speaking,University of Washington,SPECIALIZATION,4.8,1150 reviews,Beginner,130k,https://www.coursera.org/specializations/public-speaking,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2b/e6bbf064c711e6b40ae537a55e6713/iStock_11386354_LARGE_square.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Become an Excellent Public Speaker. Master techniques for designing and delivering clear and compelling presentations. ,4.8stars,996 ratings,Dr. Matt McGarrity,"25,930","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Communication, Presentation, Speech, Public Speaking, Confidence",Communication;Public Speaking ,Communication;Personal Development
204,English for Career Development,University of Pennsylvania,COURSE,4.8,6564 reviews,Mixed,920k,https://www.coursera.org/learn/careerdevelopment,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/bb/62e6a0120b11e6bc32c330496bd91a/Career-Development.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Brian McManusTop Instructor, Robyn Turner",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Communication, English Language, Career Development, Writing",Career Development;Communication;English;Language;Writing,Career Development;Art and Design;Computer Science;Marketing;Language and Communication;Personal Development
205,Learn Chinese: HSK Test Preparation,Peking University,SPECIALIZATION,4.8,1443 reviews,Beginner,46k,https://www.coursera.org/specializations/hsk-learn-chinese,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6f/2fbba0700711e68500d1e85176a323/chinese-for-HSK.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Chinese For HSK (Level 1-3). Your Step-By-Step Guide to Learning Chinese.,4.9stars,"1,117 ratings","YU Bin, LIU Lixin, CHEN LI, LU Yun","12,176","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English",English,"Chinese Language, Hanyu Shuiping Kaoshi (HSK)",Chinese ;Language,Chinese 
206,Crash Course on Python,Google,COURSE,4.8,7900 reviews,Beginner,140k,https://www.coursera.org/learn/python-crash-course,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a1/fd9a9b0f404af6842d49aad8cf141a/Andrew-WA-Thompson-699-1-.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,GoogleTop Instructor,,"Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English",English,"Basic Python Data Structures, Fundamental Programming Concepts, Basic Python Syntax, Python Programming, Object-Oriented Programming (OOP)",Data Structures;Object Oriented Programming ;Python,Data Structures;Business;Math and Logic
207,Project Launch,"University of California, Irvine",COURSE,4.7,207 reviews,Beginner,,https://www.coursera.org/learn/project-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/42/75eb50e74611e6b5e071f884737387/projectlaunch1logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Hassan Kafshi, Paul Lu, Doctor of Business Administration, PMP",,"Shareable Certificate, Course 1 of 4 in the, English, Shareable Certificate, Course 1 of 4 in the, English",English,"Project Management, Scope (Project Management), Communication, Work Breakdown Structure",Communication;Management;Project Management,Communication;Business;Math and Logic;Personal Development
208,Marketing Analytics,University of Virginia,COURSE,4.6,4183 reviews,Beginner,200k,https://www.coursera.org/learn/uva-darden-market-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a3/ea5e502c4911e78e3a21751e1f2352/MALogo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Rajkumar Venkatesan,,"Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English, Shareable Certificate, 100% online, Flexible deadlines, Beginner Level, English",English,"Marketing Experiments, Customer Lifetime Value, Regression Analysis, Marketing Analytics, Brand Equity",Marketing,Marketing;Marketing
209,Machine Learning,University of Washington,SPECIALIZATION,4.6,12828 reviews,Intermediate,330k,https://www.coursera.org/specializations/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d396qusza40orc.cloudfront.net/phoenixassets/machine-learning-s12n/machinelearning.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Build Intelligent Applications. Master machine learning fundamentals in four hands-on courses.,4.6stars,"10,748 ratings","Emily Fox, Carlos Guestrin","118,017","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English",English,"Data Clustering Algorithms, Machine Learning, Classification Algorithms, Decision Tree, Python Programming, Machine Learning Concepts, Deep Learning, Linear Regression, Ridge Regression, Lasso (Statistics), Regression Analysis, Logistic Regression",Algorithms;Data Analysis;Deep Learning;Machine Learning;Python;Statistics,Algorithms;Physical Science and Engineering;Business;Math and Logic;Data Science
210,Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,COURSE,4.8,3436 reviews,Mixed,200k,https://www.coursera.org/learn/vital-signs,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/55/8d2e309e6811e3bf47177a6a987fca/Vital-Signs-1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Connie B. Scanga, PhD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Dolor Assessment, Metabolic Pathways, Vital Signs, Pain Management",Management,Management
211,Structuring Machine Learning Projects,deeplearning.ai,COURSE,4.8,41537 reviews,Beginner,250k,https://www.coursera.org/learn/machine-learning-projects,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f6/53bf90104d11e8b2d89d7efe59d41d/CarouselAds_DL_ML.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Andrew NgTop Instructor, Teaching Assistant - Younes Bensouda MourriTop Instructor, Head Teaching Assistant - Kian KatanforooshTop Instructor",,"Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 3 of 5 in the, Flexible deadlines, English",English,"Machine Learning, Deep Learning, Inductive Transfer, Multi-Task Learning",Deep Learning;Machine Learning,Deep Learning;Data Science;Math and Logic
212,"Energy Production, Distribution & Safety",University at Buffalo,SPECIALIZATION,4.7,6061 reviews,Beginner,65k,https://www.coursera.org/specializations/energy-industry,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/29/4516a0aba411e88ebd61559c7b7b03/Specialization-photo_edit-block-photo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Establish the foundation for an energy job. Acquire fundamental knowledge and insights of the evolving power industry ,4.7stars,"4,639 ratings","Ilya Grinberg, Tom Russo, Richard Stempniak, Martin Casstevens","21,745","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,,Energy ,Energy 
213,Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,12938 reviews,Mixed,220k,https://www.coursera.org/learn/project-planning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a7/bae34049c711e4986e656ae5bf70c9/2_GearsDrawing_Coursera.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Margaret  Meloni,  MBA, PMP",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Project Management, Project, Planning, Project Planning",Management;Project Management,Management;Math and Logic;Personal Development
214,The Strategy of Content Marketing,"University of California, Davis",COURSE,4.5,1971 reviews,Intermediate,140k,https://www.coursera.org/learn/content-marketing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/40/8dbf10ac1911e68f5119007c0cf554/GettyImages-547015901-Thumbnail.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Sonia Simone,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Management, Content Marketing, Copywriting, Writing",Copywriting;Management;Marketing;Strategy;Writing,Copywriting;Marketing;Business;Computer Science;Personal Development
215,Investment and Portfolio Management,Rice University,SPECIALIZATION,4.5,1356 reviews,Beginner,56k,https://www.coursera.org/specializations/investment-portolio-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bd/77e7205b4d11e6bab7370f8742cafd/Stocks3Thumb.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Build a Winning Investment Portfolio. Improve your investment strategies with real-world skills, insights, and analytical tools.",4.6stars,"1,182 ratings","Arzu Ozoguz, Jill Foote","20,195","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Performance Attribution, Behavioral Finance, Financial Markets, Behavioral Economics, Bond Valuation, Finance, Investment, Risk Management, Portfolio Construction, Risk Analysis, Portfolio Optimization, Cognitive Bias",Economics;Finance;Financial Analysis;Investment;Management;Portfolio;Portfolio Analysis;Valuation,Economics
216,Virtual Teacher,"University of California, Irvine",SPECIALIZATION,4.4,915 reviews,Beginner,28k,https://www.coursera.org/specializations/virtual-teacher,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/42/843290cf8811e5b6c015994603251f/NEW.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Virtual Teacher Specialization. develop the skills to teach online,4.3stars,536 ratings,"Cindy  Carbajal, Melissa Joell Loble, M.A., MBA, Chris Long, Racquel Nedden, Victoria Roth O'Neal","9,608","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English",English,"Education, Resource, Planning, Collaboration, Teaching, Online Learning, Lesson Plan, Social Media, Evaluation",Online Education,Online Education
217,Child Nutrition and Cooking,Stanford University,COURSE,4.7,6621 reviews,Beginner,380k,https://www.coursera.org/learn/childnutrition,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-misc/flex/child-nutrition.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Maya Adam, MD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Nutrition, Organic Food, Food Safety, Food Science",Cooking;Nutrition ;Science,Cooking;Health and Fitness;Life Science
218,Object Oriented Java Programming: Data Structures and Beyond,University of California San Diego,SPECIALIZATION,4.7,5658 reviews,Intermediate,270k,https://www.coursera.org/specializations/java-object-oriented,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/UCSD_JavaProgrammingOODDS_Getty483605575.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Develop Powerful Interactive Software. Advance your software development knowledge in four comprehensive courses.,4.7stars,"4,574 ratings","Mia Minnes, Leo Porter, Christine Alvarado","43,293","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English",English,"Data Structure, Problem Solving, Java Programming, Object-Oriented Programming (OOP), Logic Programming, Sorting Algorithm, Trees (Data Structures), Linked List, Binary Tree, Graphs, Search Algorithm, Graph Algorithms",Algorithms;Data Structures;Data Structures and Algorithms;Java;Logic;Object Oriented Programming ;Software Development,Algorithms;Physical Science and Engineering;Data Science;Math and Logic
219,From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,2236 reviews,Beginner,31k,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/46/61d680c01611e7b516050a113dfef7/specialization-logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Learn Data Analysis that Scales. Learn how to query and process petabytes of data in seconds,4.7stars,"1,830 ratings",Google Cloud Training,"19,621","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 2 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 2 months to complete, English",English,"Bigquery, Machine Learning, Data Visualization (DataViz), SQL, Google Cloud Platform, Cloud Computing",Cloud Computing;Data Analysis;Google;Machine Learning;SQL;SQL ,Cloud Computing;Business;Math and Logic;Marketing;Data Science;Personal Development
220,Music Business,Berklee College of Music,SPECIALIZATION,4.8,1883 reviews,Beginner,48k,https://www.coursera.org/specializations/music-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/68/8372d0644b11e8b319754b9cfce57d/img_3631_15094495698_o.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Launch Your Career in the Music Business. Success Begins with Creativity & Fundamentals in Entrepreneurship, Law, and Music Business Structure",4.9stars,"1,610 ratings","John P. Kellogg, Leah Waldo, E. Michael Harrington, Panos Panay","5,539","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Copyright, Music, Social Media, Business, Entrepreneurship, Music business, Revenue streams, Teambuilding, Contracts, Marketing, Crowdfunding, Networking",Business;Business Law;Creativity;Entrepreneurship;Law;Marketing;Music;Social Media Marketing,Business;Business;Art and Design;Art and Design;Computer Science;Data Science;Health and Fitness;Language and Communication;Math and Logic;Social Science;Personal Development;Marketing
221,Medical Neuroscience,Duke University,COURSE,4.9,1726 reviews,Advanced,190k,https://www.coursera.org/learn/medical-neuroscience,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/medicalneuro/large-icon.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,,"Leonard E. White, Ph.D. Top Instructor",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Brain, Neurological Disorders, Neurobiology, Neurology",,
222,Bioinformatics,University of California San Diego,SPECIALIZATION,4.5,816 reviews,Beginner,65k,https://www.coursera.org/specializations/bioinformatics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6a/e03e40f55e11e5bdadff07ec868da4/shake.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Journey to the Frontier of Computational Biology. Master bioinformatics software and computational approaches in modern biology. ,4.5stars,682 ratings,"Pavel  Pevzner, Phillip Compeau, Nikolay Vyahhi","24,048","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 9 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 9 months to complete, English",English,"Whole Genome Sequencing, Viterbi Algorithm, Suffix Tree, Python Programming, Algorithms, Unweighted Pair Group Method with Arithmetic Mean (UPGMA), Bioinformatics, Bioinformatics Algorithms, Dynamic Programming, Graph Theory",Algorithms;Python,Algorithms;Physical Science and Engineering;Business;Math and Logic
223,Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,34082 reviews,Intermediate,270k,https://www.coursera.org/learn/convolutional-neural-networks,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2a/5d4810104e11e8a405e7a3b3b97580/CarouselAds_DL_Convolutional.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,,"Andrew NgTop Instructor, Head Teaching Assistant - Kian KatanforooshTop Instructor, Teaching Assistant - Younes Bensouda MourriTop Instructor",,"Shareable Certificate, 100% online, Course 4 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 4 of 5 in the, Flexible deadlines, English",English,"Facial Recognition System, Tensorflow, Convolutional Neural Network, Artificial Neural Network",TensorFlow,TensorFlow
224,Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,1120 reviews,Beginner,40k,https://www.coursera.org/learn/clinical-terminology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/80/e05a90e7b211e5b86b2b6830952f1b/MP900433088.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Valerie Swigart, Ph.D. R.N., Michael Gold, Ph.D.",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"English Language, Clinical Experience, Vital Signs, Medical Device",English;Language,English
225,Health Informatics,Johns Hopkins University,SPECIALIZATION,4.5,299 reviews,Beginner,13k,https://www.coursera.org/specializations/health-informatics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/53/25dc40046c11e993ec7f18ecf4e1dc/dhsi_clinical_informatics_logo-06.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Learn To Tackle Health IT & Big Data the Right Way. Become a leader in the dynamic and rapidly growing field of health informatics.,4.3stars,183 ratings,"Harold P. Lehmann, MD, Ph.D., Ashwini S. Davison, M.D., Paul Nagy, PhD, FSIIM, Hadi H. K. Kharrazi, MD, Ph.D, Sam Meiselman","6,345","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Data Science, Decision Support System, Health Informatics, Health Care, Informatics, health, Digital Health, Decision Analysis, Information Technology Planning, Strategic Leadership, Knowledge Acquisition, Decision Tree",Big Data;Data Analysis;Health;Leadership;Science,Big Data;Data Science;Business;Math and Logic;Health and Fitness;Personal Development;Life Science
226,Positive Psychiatry and Mental Health,The University of Sydney,COURSE,4.8,1168 reviews,Mixed,94k,https://www.coursera.org/learn/positive-psychiatry,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0f/4b0a004b1211e7aa5d7f0b94d133cc/PPSY-logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Sonia Kumar,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Health,Health;Personal Development
227,Visual Elements of User Interface Design,California Institute of the Arts,COURSE,4.7,2455 reviews,Beginner,72k,https://www.coursera.org/learn/visual-elements-user-interface-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e6/8f0440758611e8bbc5cde522cfff09/visual_logo_03c.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Michael Worthington,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,"User Interface Design (UI Design), User Experience (UX), Graphic Design",Design;Graphic Design;UI Design;UX Design ,Design;Computer Science
228,Developing Your Musicianship,Berklee College of Music,SPECIALIZATION,4.8,1102 reviews,Beginner,61k,https://www.coursera.org/specializations/musicianship-specialization,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/54/4fc69062f611e6913f97d77de161d8/DYM_Option5.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Develop your skills as a musician . Deepen your understanding of music theory to develop your skills as a musician.,4.8stars,883 ratings,"George W. Russell, Jr.Top Instructor","13,254","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Scales, Music, Chord, Jazz, Music theory, Aurally identify chords, Piano, Read lead sheets, Aurally identify musical intervals, Read music notation, Music Performance, Music composition",Music;Piano ,Music
229,Learn English: Intermediate Grammar,"University of California, Irvine",SPECIALIZATION,4.7,2728 reviews,Intermediate,140k,https://www.coursera.org/specializations/intermediate-grammar,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/a5/aba340003311e697f635222db49f31/thumbnail-image.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Master Intermediate Grammar. Boost your knowledge and use of grammar at the intermediate level,4.8stars,"2,063 ratings","Tamy Chapman, Emily Wong, Brad Gilpin, Judy Hu, Helen Nam","47,851","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English",English,"English Grammar, Perfect Tenses, English Language, Adjective, Grammar, Writing, Apposition",English;Language;Writing,English;Business;Computer Science;Personal Development
230,Agile with Atlassian Jira,Atlassian,COURSE,4.7,2109 reviews,Beginner,49k,https://www.coursera.org/learn/agile-atlassian-jira,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/44/a1aa6de0754300a8bb8a2f2d2ac817/atlassian-logo-gradient-vertical-white.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Steve Byrnes,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Jira,Jira;Computer Science
231,Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,513 reviews,Beginner,20k,https://www.coursera.org/specializations/integrative-health-and-medicine,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/6b/53ddf0cbf311e8a0269fbb27905846/Specialization.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Launch your career in integrative health. Incorporate complementary therapies in clinical practice to improve outcomes and promote wellbeing.,4.7stars,159 ratings,"Robin Austin, DNP, DC, Teri Verner, DNP, RN, Susan Thompson, DNP, Amy Taylor, MD, Janet Tomaino, DNP, Louise Delagran, Alex Haley","5,820","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English",English,"wellbeing, patient-centered care, improved symptom management, integrative medicine, evidence-based practice, Evidence-Based Practices, complementary therapies, integrative nursing, symptom management, healthcare, Stress Management, Pain Management",Health;Management,Health;Personal Development;Business
232,Customer Analytics,University of Pennsylvania,COURSE,4.6,9047 reviews,Mixed,180k,https://www.coursera.org/learn/wharton-customer-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a2/3a73004cd611e5a57e55563bf27068/coursera_customer_analytics_8x8.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Eric Bradlow, Peter Fader, Raghu Iyengar, Ron Berman",,"Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English",English,"Predictive Analytics, Customer Analytics, Regression Analysis, Marketing Performance Measurement And Management",Management;Marketing,Management;Marketing
